,dropoff_latitude
0,36.26240000000007
1,51.51298028000008
2,32.72341000000006
3,40.77337700000004
4,35.82172700000007
5,39.75189000000006
6,38.29298000000006
7,36.679385395501846
8,40.757218388630974
9,44.379834926295786
10,30.047550000000058
11,52.13685632500005
12,33.767900000000054
13,40.749190000000056
14,37.43070792102756
15,37.94202000000007
16,40.74213000000003
17,40.74940000000004
18,46.32379000000003
19,37.79120000000006
20,40.714780000000076
21,51.45873929000004
22,29.913383000000067
23,40.775720000000035
24,37.78782000000007
25,40.75440000000003
26,51.46309559100007
27,40.767480000000035
28,40.732110000000034
29,40.81000000000006
30,41.95065000000005
31,42.566760000000045
32,33.77129000787218
33,40.85546000000005
34,40.639830000000075
35,40.74491524046264
36,40.758800000000065
37,37.429310000000044
38,40.842310000000055
39,38.022520823249984
40,47.551150000000064
41,37.68289000000004
42,43.05297000000007
43,40.78343000000007
44,40.879230000000064
45,40.791720000000055
46,40.72657000000004
47,28.809069992885497
48,40.716260000000034
49,40.797045000000026
50,40.73472000000004
51,40.711310000000026
52,43.67076000000003
53,28.969260000000077
54,40.61624000000006
55,55.959010000000035
56,40.708650000000034
57,22.916670000000067
58,33.87925000000007
59,41.690002858928494
60,41.17623295949578
61,40.68372000000005
62,40.84348144393428
63,40.74482000000006
64,40.827630000000056
65,41.99418000000003
66,40.68094000000008
67,40.83318000000003
68,42.95947000000007
69,41.903850000000034
70,43.24592900000005
71,37.30457000000007
72,55.57077499598766
73,37.780680000000075
74,40.98201000000006
75,40.682660000000055
76,40.74987216644833
77,41.421110000000056
78,28.756610000000023
79,37.79660000000007
80,40.63399000000004
81,40.725990000000024
82,40.64372000000003
83,40.67010000000005
84,40.68682000000007
85,40.82268569138879
86,40.70800000000003
87,40.86987000000005
88,36.99663000000004
89,40.677050000000065
90,40.77376000000004
91,40.74162000000007
92,42.13850000000008
93,40.81419296363015
94,40.78410000000008
95,40.68020000000007
96,40.69244000000003
97,40.772050000000036
98,42.09687000000008
99,40.74292000000003
100,40.69292381182107
101,40.69319000000007
102,40.78863000000007
103,35.22330000000005
104,39.88844000000006
105,40.730020000000025
106,51.759430000000066
107,43.87066900000008
108,40.866310000000055
109,25.902090000000044
110,43.83223900000007
111,40.70225596854097
112,40.72729000000004
113,40.640310000000056
114,40.71481000000006
115,37.962230000000034
116,40.67544000000004
117,40.59146940224236
118,34.922802854787086
119,40.845380000000034
120,42.91092000000003
121,18.157695292000028
122,40.76863000000003
123,37.89369000000005
124,40.854430000000036
125,40.764560000000074
126,40.65061000000003
127,40.76439000000005
128,40.71238000000005
129,40.61024861375304
130,37.04073000000005
131,40.59122000000008
132,40.82910000000004
133,46.43773200000004
134,40.66677000000004
135,40.79677000000004
136,40.84369000000004
137,40.680120000000045
138,42.27067000000005
139,40.746120000000076
140,47.64139000000006
141,37.963546000000065
142,31.120200000000068
143,40.76583000000005
144,37.51842000000005
145,40.851830000000064
146,40.731940000000066
147,40.09444999047295
148,30.742660000000058
149,28.793660000000045
150,40.86520999244658
151,40.85008000000005
152,40.70049000000006
153,42.18745000000007
154,40.83976000000007
155,40.73034000000007
156,40.67019000000005
157,40.672360000000026
158,40.898160000000075
159,40.723040000000026
160,33.887200000000064
161,51.442540000000065
162,51.75231362300008
163,40.65483000000006
164,40.579900000000066
165,28.064550000000054
166,40.65881340858438
167,47.655770000000075
168,40.60401000000007
169,40.74800000000005
170,40.57788000000005
171,40.67417000000006
172,28.70016000000004
173,43.07313000000005
174,40.62122000000005
175,51.442515247000074
176,40.81260000000003
177,40.62149000000005
178,40.66932000000003
179,34.146330000000034
180,40.71795000000003
181,40.63731493202619
182,40.829170009041746
183,40.604550000000074
184,35.88719000000003
185,40.83359000000007
186,40.83899000000008
187,40.75306000000006
188,40.79649000000006
189,40.692540000000065
190,40.87239000000005
191,40.86597000000006
192,40.661108051959026
193,40.854190000000074
194,40.58813800000007
195,34.68178000000006
196,39.345750000000066
197,40.58119000000005
198,40.511280000000056
199,40.833349591247625
200,40.95641000000006
201,47.987910000000056
202,43.10552641780412
203,40.89506000000006
204,40.84699000000006
205,40.74905000000007
206,32.369200000000035
207,40.77630000000005
208,40.755660000000034
209,40.554140000000075
210,40.85946000000007
211,44.60065000000003
212,51.51759227700006
213,40.635500000000036
214,40.55427000000003
215,37.16756000000004
216,40.863350000000025
217,40.60315000000003
218,40.57284000000004
219,37.55247000000003
220,27.33468000000005
221,25.947770000000048
222,43.093470000000025
223,39.72305000000006
224,40.567300000000046
225,38.755840000000035
