,dropoff_longitude
0,-86.71370999999994
1,-73.98980115641835
2,-73.98509299999995
3,-78.62167499999998
4,-85.58557999999994
5,-84.13187835388001
6,-79.31717985801059
7,-90.68941999999998
8,-73.96794999999997
9,-73.97780999999998
10,-73.88755999999995
11,-73.95275999999996
12,-90.04760999999996
13,-73.87452999999994
14,-73.99184999999994
15,-73.97068999999993
16,-73.99647999999996
17,-73.96249999999998
18,-88.08084999999994
19,-71.11199999999997
20,-84.3850110267159
21,-73.93378999999999
22,-73.77873999999997
23,-74.00248044924864
24,-82.10248999999999
25,-73.97290999999996
26,-73.93923999999998
27,-83.27746935411544
28,-97.27535999999998
29,-87.89776999999998
30,-73.96624999999995
31,-73.90715999999998
32,-96.68124999999998
33,-74.00769999999994
34,-81.86273503204004
35,-74.01257999999996
36,-73.96972499999998
37,-73.97749999999996
38,-74.01589999999999
39,-79.39284999999995
40,-81.33016999999995
41,-73.74660999999998
42,-73.82890999999995
43,-83.19999999999999
44,-88.43004897746927
45,-73.98178999999999
46,-73.87039397954875
47,-73.94874999999996
48,-73.92535999999996
49,-73.87641999999994
50,-73.79088999999993
51,-73.91398999999996
52,-85.49612999999994
53,-87.93987999999996
54,-79.81809099999998
55,-89.97682999999995
56,-80.39645999999993
57,-74.11257999999998
58,-73.93401999999998
59,-73.93848670696451
60,-81.67829999999998
61,-81.55982999999998
62,-73.99680999999998
63,-73.98056999999994
64,-73.90068999999994
65,-73.98596999999995
66,-73.96469999999994
67,-73.88368450586063
68,-73.93989999999997
69,-73.92093999999997
70,-76.57423999999997
71,-73.89124999999996
72,-73.90493999999995
73,-73.78298999999998
74,-83.24467999999996
75,-73.92488927384467
76,-73.84580999999997
77,-74.00162999999998
78,-74.18295999999998
79,-73.93013999999994
80,-87.93675999999994
81,-73.82060999999999
82,-73.98576786205874
83,-73.97167999999994
84,-73.81372999999996
85,-80.80489999999998
86,-75.30825999999996
87,-73.82339999999994
88,-79.43786299999994
89,-73.62418999999994
90,-97.49923999999999
91,-73.48431737799996
92,-89.93801099999996
93,-73.81139576302819
94,-73.89543999999995
95,-73.96182999999996
96,-73.75075999999996
97,-87.57134999999994
98,-73.81113999999997
99,-73.97040095435577
100,-82.88901087549813
101,-73.89096999999998
102,-70.96310999999997
103,-77.31110640499998
104,-73.74733999999995
105,-81.16587999999996
106,-73.86433999999997
107,-73.94731999999993
108,-73.95386999999994
109,-73.87401999999997
110,-73.88269999999994
111,-73.9394373228829
112,-76.37343999999996
113,-59.52735999999999
114,-73.94457999999997
115,-73.90670999999998
116,-63.635685999999964
117,-73.88235999999995
118,-73.92207999999994
119,-73.84735999999998
120,-88.01632999999998
121,-73.85278999999997
122,-86.75104099999999
123,-83.32154999999995
124,-73.80841999999996
125,-73.91625999999997
126,-73.86883999999998
127,-74.04639491762516
128,-87.79497999999995
129,-81.62808999999999
130,-73.84307026357106
131,-73.86682999999994
132,-73.97401999999994
133,-71.20286999999996
134,-73.87792999999994
135,-73.80978999999996
136,-73.74658999999997
137,-73.99026999999995
138,-73.86735999999996
139,-73.71545999999995
140,-73.84601999999995
141,-73.83691999999996
142,-81.78942999999998
143,-73.92665381737936
144,-73.75248999999997
145,-73.71323999999998
146,-73.95957999999996
147,-73.91166999999996
148,-81.34677999999997
149,-89.38643999999994
150,-73.93485999999996
151,-73.88401999999996
152,-74.00957999999997
153,-73.99402999999995
154,-74.89558999999997
155,-73.78268999999995
156,-73.93104638727061
157,-74.18947998629393
158,-74.00430999999998
159,-85.18552999999997
160,-73.88836999999995
161,-73.86040999999994
162,-73.86118999999997
163,-73.77901999999995
164,-73.73184999999995
165,-73.90153999999995
166,-73.79003999999998
167,-73.89252797761338
168,-73.87145999999996
169,-73.81196299999993
170,-99.91246999999998
171,-76.50673999999998
172,-73.88782999999995
173,-74.25056999999998
174,-73.85980382171228
175,-73.81532999999996
176,-98.99548999999996
177,-88.35315053065447
178,-73.88011999999998
179,-73.89792999999997
180,-73.75667999999996
181,-86.28649999999999
182,-73.92360999999994
183,-73.81027999999998
184,-74.17390999999998
185,-73.90211999999997
186,-74.15921999999995
187,-74.15152999999998
188,-77.41599999999994
189,-73.80196999999998
190,-73.82139999999998
191,-74.09522999999996
192,-76.81181999999995
193,-82.57595999999995
194,-80.31533999999994
195,-77.65261999999996
196,-84.17303999999996
197,-73.88381999999996
198,-76.85127999999997
